"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Firstly signup by creating an account, then add products to cart and then and finally checkout fully.","27453","registerThenPlaceOrderTest","Default suite","Tue Jul 15 10:34:52 IST 2025","passed","Tue Jul 15 10:35:20 IST 2025","org.ats.ecom_testing.tests.RegisterAndCheckoutTest","Default test","org.ats.ecom_testing.tests.RegisterAndCheckoutTest","registerThenPlaceOrderTest"
"Test to check whether the contact us form works correctly.","39003","contactFormTest","EcomTestSuite","Tue Jul 15 13:03:08 IST 2025","passed","Tue Jul 15 13:03:47 IST 2025","org.ats.ecom_testing.tests.ContactFormTest","non_critical","org.ats.ecom_testing.tests.ContactFormTest","contactFormTest"
"Firstly Add products to cart and then signup by creating an account, and finally checkout fully.","50117","placeOrderAndRegisterTest","Default suite","Tue Jul 15 10:32:28 IST 2025","passed","Tue Jul 15 10:33:18 IST 2025","org.ats.ecom_testing.tests.PlaceOrderAndRegisterTest","Default test","org.ats.ecom_testing.tests.PlaceOrderAndRegisterTest","placeOrderAndRegisterTest"
"Test to check if the cart products are still present correctly after the user adds them to the cart, then returns to the cart after login.","50576","verifyCartAfterLogin","EcomTestSuite","Tue Jul 15 13:01:51 IST 2025","passed","Tue Jul 15 13:02:42 IST 2025","org.ats.ecom_testing.tests.VerifyCartAfterLoginTest","cartTests","org.ats.ecom_testing.tests.VerifyCartAfterLoginTest","verifyCartAfterLogin"
"Test to check whether the user can filter products by category successfully.","56866","verifyProductCategoriesTest","EcomTestSuite","Tue Jul 15 13:04:07 IST 2025","passed","Tue Jul 15 13:05:04 IST 2025","org.ats.ecom_testing.tests.VerifyProductCategoriesTest","productTests","org.ats.ecom_testing.tests.VerifyProductCategoriesTest","verifyProductCategoriesTest"
"Test for checking whether user can login with the incorrect credentials or not.","29106","loginWithIncorrectCredentials","EcomTestSuite","Tue Jul 15 13:21:19 IST 2025","passed","Tue Jul 15 13:21:48 IST 2025","org.ats.ecom_testing.tests.LoginWithIncorrectCreds","SmokeTests","org.ats.ecom_testing.tests.LoginWithIncorrectCreds","loginWithIncorrectCredentials"
"Test to check whether the user can register with the website successfully.","18317","registerNewUserTest","Default suite","Tue Jul 15 10:31:11 IST 2025","passed","Tue Jul 15 10:31:29 IST 2025","org.ats.ecom_testing.tests.RegisterUserTest","Default test","org.ats.ecom_testing.tests.RegisterUserTest","registerNewUserTest"
"Test to check whether the user can search for products successfully.","17801","searchProductsTest","EcomTestSuite","Tue Jul 15 13:22:22 IST 2025","passed","Tue Jul 15 13:22:40 IST 2025","org.ats.ecom_testing.tests.SearchProductsTest","SmokeTests","org.ats.ecom_testing.tests.SearchProductsTest","searchProductsTest"
"Login to the website with existing credentials, add products to cart and then checkout fully.","55402","loginAndCheckoutTest","EcomTestSuite","Tue Jul 15 13:21:58 IST 2025","passed","Tue Jul 15 13:22:53 IST 2025","org.ats.ecom_testing.tests.LoginAndCheckout","SmokeTests","org.ats.ecom_testing.tests.LoginAndCheckout","loginAndCheckoutTest"
"Add the recommended products from the home page to cart and then check whether all the products are added successfully.","22218","addRecommendedProducts","EcomTestSuite","Tue Jul 15 13:01:48 IST 2025","passed","Tue Jul 15 13:02:10 IST 2025","org.ats.ecom_testing.tests.AddRecommendedProducts","cartTests","org.ats.ecom_testing.tests.AddRecommendedProducts","addRecommendedProducts"
"Firstly signup by creating an account, then add products to cart and then and finally checkout fully.","49334","registerThenPlaceOrderTest","EcomTestSuite","Tue Jul 15 13:22:16 IST 2025","passed","Tue Jul 15 13:23:06 IST 2025","org.ats.ecom_testing.tests.RegisterAndCheckoutTest","SmokeTests","org.ats.ecom_testing.tests.RegisterAndCheckoutTest","registerThenPlaceOrderTest"
"Add products to cart and then check whether the cart contains all added products","11880","addProductsToCartTest","Default suite","Tue Jul 15 12:27:14 IST 2025","passed","Tue Jul 15 12:27:25 IST 2025","org.ats.ecom_testing.tests.AddProductsToCartTest","Default test","org.ats.ecom_testing.tests.AddProductsToCartTest","addProductsToCartTest"
"Test to check whether the user can filter products by brand successfully.","65130","productBrandTest","EcomTestSuite","Tue Jul 15 13:04:12 IST 2025","passed","Tue Jul 15 13:05:17 IST 2025","org.ats.ecom_testing.tests.ProductBrandTest","productTests","org.ats.ecom_testing.tests.ProductBrandTest","productBrandTest"
"Test to check if the cart products are still present correctly after the user adds them to the cart, then returns to the cart after login.","37173","verifyCartAfterLogin","Default suite","Mon Jul 14 19:00:05 IST 2025","passed","Mon Jul 14 19:00:42 IST 2025","org.ats.ecom_testing.tests.VerifyCartAfterLoginTest","Default test","org.ats.ecom_testing.tests.VerifyCartAfterLoginTest","verifyCartAfterLogin"
"Firstly Add products to cart and then signup by creating an account, and finally checkout fully.","49457","placeOrderAndRegisterTest","EcomTestSuite","Tue Jul 15 12:58:07 IST 2025","passed","Tue Jul 15 12:58:57 IST 2025","org.ats.ecom_testing.tests.PlaceOrderAndRegisterTest","checkout","org.ats.ecom_testing.tests.PlaceOrderAndRegisterTest","placeOrderAndRegisterTest"
"Login to the website with existing credentials, add products to cart and then checkout fully.","18280","loginAndCheckoutTest","Default suite","Tue Jul 15 10:33:45 IST 2025","passed","Tue Jul 15 10:34:03 IST 2025","org.ats.ecom_testing.tests.LoginAndCheckout","Default test","org.ats.ecom_testing.tests.LoginAndCheckout","loginAndCheckoutTest"
"Add products to cart and then check whether the cart contains all added products","49717","addProductsToCartTest","EcomTestSuite","Tue Jul 15 13:21:19 IST 2025","passed","Tue Jul 15 13:22:08 IST 2025","org.ats.ecom_testing.tests.AddProductsToCartTest","SmokeTests","org.ats.ecom_testing.tests.AddProductsToCartTest","addProductsToCartTest"
"Test to check whether the all products page has all products visible. Also whether the product details are visible.","29808","allProductsTest","EcomTestSuite","Tue Jul 15 13:21:19 IST 2025","passed","Tue Jul 15 13:21:48 IST 2025","org.ats.ecom_testing.tests.AllProductsTest","SmokeTests","org.ats.ecom_testing.tests.AllProductsTest","allProductsTest"
"Test to check whether the user entered product quantites reflect in the cart","18078","productQuantityTest","EcomTestSuite","Tue Jul 15 13:21:55 IST 2025","passed","Tue Jul 15 13:22:13 IST 2025","org.ats.ecom_testing.tests.ProductQuantityInCartTest","SmokeTests","org.ats.ecom_testing.tests.ProductQuantityInCartTest","productQuantityTest"
"Test to check whether the user can subscribe to the email service from the cart page successfully.","5100","subscriptionTest","EcomTestSuite","Tue Jul 15 13:03:06 IST 2025","passed","Tue Jul 15 13:03:11 IST 2025","org.ats.ecom_testing.tests.SubscriptionTestInCart","non_critical","org.ats.ecom_testing.tests.SubscriptionTestInCart","subscriptionTest"
"Test to check whether the all products page has all products visible. Also whether the product details are visible.","17064","allProductsTest","Default suite","Mon Jul 14 14:45:19 IST 2025","passed","Mon Jul 14 14:45:36 IST 2025","org.ats.ecom_testing.tests.AllProductsTest","Default test","org.ats.ecom_testing.tests.AllProductsTest","allProductsTest"
"Test to check whether the user can subscribe to the email service successfully.","8956","subscriptionTest","EcomTestSuite","Tue Jul 15 13:03:02 IST 2025","passed","Tue Jul 15 13:03:11 IST 2025","org.ats.ecom_testing.tests.SubscriptionTest","non_critical","org.ats.ecom_testing.tests.SubscriptionTest","subscriptionTest"
"Test to check whether the user can register with the website successfully.","59660","registerNewUserTest","EcomTestSuite","Tue Jul 15 13:21:21 IST 2025","passed","Tue Jul 15 13:22:21 IST 2025","org.ats.ecom_testing.tests.RegisterUserTest","SmokeTests","org.ats.ecom_testing.tests.RegisterUserTest","registerNewUserTest"
"Test to chech whether reviews can be added for the products correctly","46628","addReviewTest","EcomTestSuite","Tue Jul 15 13:04:07 IST 2025","passed","Tue Jul 15 13:04:54 IST 2025","org.ats.ecom_testing.tests.AddReviewTest","productTests","org.ats.ecom_testing.tests.AddReviewTest","addReviewTest"
"Test to check whether the user can logout from thw website successfully.","11404","logoutSuccessfully","Default suite","Mon Jul 14 18:47:53 IST 2025","passed","Mon Jul 14 18:48:04 IST 2025","org.ats.ecom_testing.tests.LogoutSuccessTest","Default test","org.ats.ecom_testing.tests.LogoutSuccessTest","logoutSuccessfully"
"Test for checking whether user can login with the correct credentials.","47274","loginWithCorrectCredentials","EcomTestSuite","Tue Jul 15 13:21:21 IST 2025","passed","Tue Jul 15 13:22:09 IST 2025","org.ats.ecom_testing.tests.LoginWithCorrectCreds","SmokeTests","org.ats.ecom_testing.tests.LoginWithCorrectCreds","loginWithCorrectCredentials"
"Test to check whether the user can register with an already existing email id, successfully.","27566","registerUserWithExistingEmail","EcomTestSuite","Tue Jul 15 13:00:41 IST 2025","passed","Tue Jul 15 13:01:08 IST 2025","org.ats.ecom_testing.tests.RegisterUserWithExistingEmail","AccountTests","org.ats.ecom_testing.tests.RegisterUserWithExistingEmail","registerUserWithExistingEmail"
"Test to check whether the user can scroll up with the arrow button successfully.","15897","scrollArrowTest","EcomTestSuite","Tue Jul 15 13:03:06 IST 2025","passed","Tue Jul 15 13:03:22 IST 2025","org.ats.ecom_testing.tests.ScrollArrowButtonTest","non_critical","org.ats.ecom_testing.tests.ScrollArrowButtonTest","scrollArrowTest"
"Test to check whether the user can logout from thw website successfully.","18387","logoutSuccessfully","EcomTestSuite","Tue Jul 15 13:22:20 IST 2025","passed","Tue Jul 15 13:22:39 IST 2025","org.ats.ecom_testing.tests.LogoutSuccessTest","SmokeTests","org.ats.ecom_testing.tests.LogoutSuccessTest","logoutSuccessfully"
